,City,ST,2022 estimate,2020 census,Change,2020 land area,2020 land area,2020 density,2020 density,Location
143,Cary,NC,"180,388","174,721",0.0324,59.2,153.3,"2,951","1,139",35.78°N 78.82°W
144,Shreveport,LA,"180,153","187,593",−3.97%,107.8,279.2,"1,740",670,32.47°N 93.79°W
145,Ontario,CA,"179,061","175,265",0.0217,50,129.5,"3,505","1,353",34.04°N 117.60°W
146,Eugene,OR,"177,923","176,654",0.0072,44.2,114.5,"3,997","1,543",44.06°N 123.12°W
147,Aurora,IL,"177,866","180,542",−1.48%,45,116.5,"4,012","1,549",41.76°N 88.29°W
148,Elk Grove,CA,"177,558","176,124",0.0081,42,108.8,"4,193","1,619",38.41°N 121.38°W
149,Salem,OR,"177,487","175,535",0.0111,48.8,126.4,"3,597","1,389",44.92°N 123.02°W
150,Santa Rosa,CA,"177,181","178,127",−0.53%,42.5,110.1,"4,191","1,618",38.45°N 122.71°W
151,Clarksville,TN,"176,974","166,722",0.0615,99.4,257.4,"1,677",647,36.57°N 87.35°W
152,Rancho Cucamonga,CA,"176,336","174,453",0.0108,40.1,103.9,"4,350","1,680",34.12°N 117.56°W
153,Oceanside,CA,"172,199","174,068",−1.07%,41.3,107,"4,215","1,627",33.22°N 117.31°W
154,Springfield,MO,"170,067","169,176",0.0053,82.4,213.4,"2,053",793,37.19°N 93.29°W
155,Pembroke Pines,FL,"169,876","171,178",−0.76%,32.7,84.7,"5,235","2,021",26.01°N 80.34°W
156,Garden Grove,CA,"169,254","171,949",−1.57%,18,46.6,"9,553","3,688",33.78°N 117.96°W
157,Fort Collins,CO,"169,249","169,810",−0.33%,57.2,148.1,"2,969","1,146",40.55°N 105.06°W
158,Lancaster,CA,"169,185","173,516",−2.50%,94.3,244.2,"1,840",710,34.69°N 118.18°W
159,Palmdale,CA,"163,463","169,450",−3.53%,106.1,274.8,"1,597",617,34.59°N 118.11°W
160,Murfreesboro,TN,"162,398","152,769",0.063,62.9,162.9,"2,429",938,35.85°N 86.42°W
161,Salinas,CA,"161,020","163,542",−1.54%,23.5,60.9,"6,959","2,687",36.69°N 121.63°W
162,Corona,CA,"159,567","157,136",0.0155,39.9,103.3,"3,938","1,520",33.86°N 117.57°W
163,Killeen,TX,"159,172","153,095",0.0397,54.8,141.9,"2,794","1,079",31.08°N 97.73°W
164,Hayward,CA,"156,754","162,954",−3.80%,45.8,118.6,"3,558","1,374",37.63°N 122.10°W
165,Paterson,NJ,"156,661","159,732",−1.92%,8.4,21.8,"19,016","7,342",40.91°N 74.16°W
166,Macon[v],GA,"156,197","157,346",−0.73%,249.4,645.9,631,244,32.81°N 83.69°W
167,Lakewood,CO,"156,120","155,984",0.0009,43.5,112.7,"3,586","1,385",39.70°N 105.12°W
168,Alexandria[l],VA,"155,525","159,467",−2.47%,14.9,38.6,"10,702","4,132",38.82°N 77.08°W
169,Roseville,CA,"154,817","147,773",0.0477,44.1,114.2,"3,351","1,294",38.77°N 121.32°W
170,Surprise,AZ,"154,198","143,148",0.0772,110.3,285.7,"1,298",501,33.67°N 112.45°W
171,Springfield,MA,"154,064","155,929",−1.20%,31.9,82.6,"4,888","1,887",42.12°N 72.54°W
172,Charleston,SC,"153,672","150,227",0.0229,114.8,297.3,"1,309",505,32.83°N 79.97°W
